,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,acl:relcl,advmod,orphan,punct
flat,1.0,-1.0000000000000002,-0.9999999999999999,-1.0,-0.9999999999999999,1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
nsubj,1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,-1.0,1.0,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,1.0,-0.9999999999999999,-1.0,-1.0
root,-1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,0.9999999999999999,-1.0000000000000002,1.0000000000000002,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,1.0000000000000002,-1.0,1.0,0.9999999999999999,1.0
advcl,-1.0,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999998,-1.0,-0.9999999999999998,1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999999,0.9999999999999999,1.0000000000000002,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,1.0
mark,-0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,1.0,1.0000000000000002,0.9999999999999999,-1.0,-1.0,-0.9999999999999998,1.0,-1.0,-0.9999999999999998,-1.0,1.0,-1.0,1.0,1.0,0.9999999999999999
det,1.0,-1.0,-1.0000000000000002,-0.9999999999999998,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,0.9999999999999999,1.0000000000000002,1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0000000000000002,1.0000000000000002,-1.0,-1.0,-1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,-0.9999999999999998,1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999998,-0.9999999999999998,-1.0
csubj,0.9999999999999999,-1.0,-1.0,-1.0000000000000002,-1.0,1.0000000000000002,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,-1.0000000000000002,-1.0000000000000002,-0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,-1.0,-1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9999999999999998,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0,-1.0000000000000002,-1.0000000000000002
xcomp,1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999999,1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,-1.0,0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999998,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,0.9999999999999999,-1.0,1.0,-0.9999999999999999,-1.0,-0.9999999999999999
obl,1.0,-1.0,-0.9999999999999999,-1.0000000000000002,-1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0000000000000002,1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,1.0,1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0
nmod,1.0,-0.9999999999999998,-1.0,-1.0,-1.0,1.0,1.0,-0.9999999999999999,-1.0,-1.0000000000000002,1.0000000000000002,1.0,0.9999999999999998,-0.9999999999999998,-1.0,-1.0,1.0,1.0000000000000002,1.0,-0.9999999999999998,-1.0,-1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,-0.9999999999999999,0.9999999999999999,1.0,1.0,-0.9999999999999998,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
advcl:cmpr,-1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.9999999999999999,1.0000000000000002,1.0,-0.9999999999999998,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,1.0,-1.0000000000000002,0.9999999999999999,-1.0,1.0,1.0,1.0,1.0,-0.9999999999999998,-1.0,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,1.0,-1.0,1.0,1.0,0.9999999999999999
cc,1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0000000000000002,-1.0000000000000002,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0000000000000002,-1.0,-1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,-1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0000000000000002,1.0,1.0000000000000002,1.0,-1.0,1.0000000000000002,1.0,0.9999999999999999,-1.0,1.0000000000000002,-1.0,-1.0000000000000002,-1.0
nsubj:pass,-1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0,0.9999999999999999,-1.0,1.0,-1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,1.0,0.9999999999999999,1.0
discourse,1.0,-1.0000000000000002,-0.9999999999999999,-1.0,-0.9999999999999999,1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
csubj:pass,-1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,-1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0000000000000002,1.0,-1.0000000000000002,1.0,-1.0000000000000002,1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
acl,-1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,1.0000000000000002,1.0000000000000002,-1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,-0.9999999999999999,1.0,-0.9999999999999999,1.0,1.0,1.0
amod,-1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0,1.0,1.0,1.0,0.9999999999999999,-0.9999999999999999,-1.0,-1.0,0.9999999999999998,-1.0,-1.0,-1.0,0.9999999999999999,-1.0,1.0,1.0,0.9999999999999999
nummod,-0.9999999999999998,1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,0.9999999999999998,1.0,1.0,-1.0000000000000002,-1.0,-0.9999999999999999,1.0,1.0,1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,-0.9999999999999998,-1.0,-0.9999999999999999,1.0,-1.0000000000000002,1.0,-1.0,1.0,1.0,0.9999999999999999,1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0,0.9999999999999998
conj,1.0,-1.0,-1.0,-0.9999999999999998,-1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999998,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,-0.9999999999999998,1.0,-1.0,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,1.0,1.0,1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9999999999999998,-0.9999999999999998
case,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0000000000000002,1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,-1.0
xcomp:pred,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999998,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.9999999999999998,-1.0,1.0,-0.9999999999999998,-1.0,-1.0
aux:pass,-0.9999999999999999,1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,0.9999999999999998,1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,1.0,-1.0,0.9999999999999999,-1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,-0.9999999999999999,-1.0,-1.0,1.0,-1.0,-0.9999999999999998,-1.0,0.9999999999999999,-1.0,0.9999999999999999,1.0,0.9999999999999999
advmod:neg,1.0000000000000002,-0.9999999999999999,-1.0000000000000002,-1.0,-1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,-0.9999999999999999,-1.0,-1.0,1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,-0.9999999999999999,-1.0,-0.9999999999999999
cop,1.0,-1.0,-1.0,-0.9999999999999999,-1.0,1.0000000000000002,1.0000000000000002,-1.0,-1.0,-1.0,1.0000000000000002,0.9999999999999999,1.0,-0.9999999999999998,-1.0,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,-0.9999999999999998,1.0,1.0,1.0,1.0,1.0,-0.9999999999999999,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.9999999999999998,1.0000000000000002,1.0,1.0,-0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0
obj,1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999999,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,-1.0,0.9999999999999999,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,1.0,-1.0,0.9999999999999998,-1.0,-1.0,-1.0
ccomp,-1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-0.9999999999999999,0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.9999999999999999,1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1.0,-0.9999999999999999,-1.0,1.0,-1.0,0.9999999999999999,1.0,1.0
acl:relcl,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-0.9999999999999998,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0000000000000002,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,1.0,0.9999999999999998,-1.0,1.0,-1.0000000000000002,-1.0,-1.0
advmod,-1.0,1.0000000000000002,1.0,1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-0.9999999999999998,-1.0,-0.9999999999999999,-1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0000000000000002,-0.9999999999999998,0.9999999999999999,-0.9999999999999999,-1.0,-1.0,0.9999999999999999,-1.0000000000000002,1.0,1.0,1.0
orphan,-1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.9999999999999999,1.0000000000000002,1.0,-0.9999999999999998,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,1.0,-1.0000000000000002,0.9999999999999999,-1.0,1.0,1.0,1.0,1.0,-0.9999999999999998,-1.0,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,1.0,-1.0,1.0,1.0,0.9999999999999999
punct,-1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,-0.9999999999999998,-1.0,1.0,0.9999999999999998,0.9999999999999998,-1.0,-1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0000000000000002,-0.9999999999999999,-1.0,-1.0,0.9999999999999999,-1.0,1.0,-1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,-0.9999999999999998,-1.0,-1.0,0.9999999999999999,-0.9999999999999999,-1.0,-1.0,1.0,-1.0,1.0,0.9999999999999999,1.0
