,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,punct
PROPN,1.0000000000000002,-1.0,-1.0,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,1.0,1.0000000000000002,-1.0000000000000002,1.0,0.9999999999999999,1.0,-1.0000000000000002,1.0,1.0000000000000002,-1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,1.0000000000000002,-1.0000000000000002,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0000000000000002,1.0,-0.9999999999999999,-1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0000000000000002,1.0,1.0,-1.0000000000000002,1.0000000000000002,-1.0000000000000002
PRON,1.0,-1.0,-1.0,0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,0.9999999999999999,1.0,-0.9999999999999999,0.9999999999999999,1.0,1.0,-1.0,0.9999999999999999,0.9999999999999999,-0.9999999999999999,0.9999999999999999,-0.9999999999999999,-0.9999999999999999,1.0,1.0,1.0,-0.9999999999999999,1.0,1.0,-1.0,-1.0,0.9999999999999999,-0.9999999999999998,-0.9999999999999998,0.9999999999999999,1.0,0.9999999999999999,-0.9999999999999998,1.0,-1.0,-1.0,0.9999999999999999,-0.9999999999999998,-0.9999999999999999,0.9999999999999999,-1.0,0.9999999999999998,0.9999999999999999,-1.0,1.0,-1.0
NUM,1.0,-1.0000000000000002,-1.0000000000000002,1.0,-1.0,-1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,0.9999999999999998,-1.0000000000000002,1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0000000000000002,1.0,1.0,-1.0000000000000002,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,-1.0,-0.9999999999999998,1.0,-1.0,-1.0000000000000002,1.0,-1.0,1.0000000000000002,1.0,-1.0,1.0,-1.0000000000000002
ADJ,-1.0,1.0000000000000002,1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,-0.9999999999999998,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,1.0,-0.9999999999999998,1.0,-1.0,-1.0,1.0,-1.0,1.0000000000000002
advmod:emph,1.0,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0,1.0,0.9999999999999999,1.0,-0.9999999999999998,1.0,0.9999999999999999,-0.9999999999999998,0.9999999999999999,-1.0,-0.9999999999999998,1.0,1.0,1.0,-0.9999999999999998,1.0,0.9999999999999998,-1.0,-0.9999999999999998,1.0,-1.0,-1.0,0.9999999999999999,1.0,0.9999999999999999,-1.0,1.0,-1.0,-1.0,0.9999999999999999,-1.0,-0.9999999999999998,1.0,-0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.9999999999999998,0.9999999999999998,-1.0
obl:arg,1.0,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0,-1.0000000000000002,-0.9999999999999998,1.0,1.0,-1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999998,-1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0,-0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0,-1.0,1.0,1.0000000000000002,-1.0000000000000002,-1.0,1.0,-1.0,-0.9999999999999999,1.0,1.0000000000000002,1.0,-1.0,1.0,-1.0,-1.0000000000000002,1.0,-0.9999999999999998,-1.0,0.9999999999999999,-0.9999999999999999,1.0,1.0,-1.0,1.0000000000000002,-1.0
flat,-1.0,1.0,1.0,-0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,-0.9999999999999999,-1.0000000000000002,1.0,-0.9999999999999998,-1.0,1.0,-1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,0.9999999999999999,0.9999999999999999,-1.0000000000000002,0.9999999999999999,1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,0.9999999999999999,1.0,-0.9999999999999998,1.0,-1.0,-1.0,1.0000000000000002,-1.0,1.0
conj:expl,0.9999999999999999,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,1.0,0.9999999999999999,1.0,-1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,-1.0000000000000002,-0.9999999999999998,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999998,-0.9999999999999999,1.0,-1.0000000000000002,-1.0,0.9999999999999999,-1.0,1.0,1.0,-0.9999999999999998,1.0,-1.0
nsubj,-1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,1.0000000000000002,-1.0,-1.0,0.9999999999999998,-1.0000000000000002,-0.9999999999999999,-1.0,1.0,-1.0,-1.0,1.0,-1.0000000000000002,1.0,0.9999999999999999,-1.0000000000000002,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.9999999999999999,-1.0,1.0,0.9999999999999999,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,-1.0,1.0,0.9999999999999998,-1.0000000000000002,1.0,1.0,-1.0,0.9999999999999999,-1.0,-1.0000000000000002,0.9999999999999999,-1.0,1.0
root,-1.0,1.0,1.0,-1.0,1.0,1.0,0.9999999999999998,-0.9999999999999998,-0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0,1.0,-0.9999999999999998,-0.9999999999999998,0.9999999999999999,-1.0,0.9999999999999999,1.0,-1.0,-1.0,-0.9999999999999999,0.9999999999999999,-0.9999999999999999,-1.0,0.9999999999999999,1.0,-1.0,0.9999999999999999,0.9999999999999999,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,0.9999999999999999,1.0,-1.0,0.9999999999999999,0.9999999999999999,-0.9999999999999998,1.0,-0.9999999999999999,-1.0,1.0,-0.9999999999999999,1.0
advcl,1.0,-1.0000000000000002,-1.0000000000000002,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0,1.0,1.0,1.0000000000000002,-1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0000000000000002,1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0000000000000002,1.0000000000000002,-1.0
mark,1.0000000000000002,-1.0,-1.0,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0,-1.0,1.0,-1.0
det,0.9999999999999999,-1.0,-1.0,0.9999999999999998,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-0.9999999999999998,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.9999999999999998,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,-0.9999999999999999,1.0,-1.0,-0.9999999999999999,0.9999999999999998,1.0,0.9999999999999998,-1.0,0.9999999999999999,-1.0,-1.0,0.9999999999999998,-1.0,-1.0,1.0,-1.0,1.0000000000000002,0.9999999999999998,-1.0,1.0,-0.9999999999999999
advcl:pred,-1.0,1.0,1.0,-0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,-0.9999999999999999,-1.0000000000000002,1.0,-0.9999999999999998,-1.0,1.0,-1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,0.9999999999999999,0.9999999999999999,-1.0000000000000002,0.9999999999999999,1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,0.9999999999999999,1.0,-0.9999999999999998,1.0,-1.0,-1.0,1.0000000000000002,-1.0,1.0
csubj,1.0,-0.9999999999999998,-0.9999999999999998,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9999999999999999,1.0,1.0,0.9999999999999999,-1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0000000000000002,-1.0
xcomp,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0000000000000002,1.0,1.0,-1.0,0.9999999999999998,1.0000000000000002,-1.0000000000000002,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,1.0,-0.9999999999999999,-1.0000000000000002,0.9999999999999998,-1.0,1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0
obl,-1.0000000000000002,1.0,1.0,-1.0,1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,0.9999999999999998,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,-1.0,-1.0000000000000002,0.9999999999999999,-1.0000000000000002,1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,-1.0,1.0,1.0,-1.0000000000000002,1.0,0.9999999999999999,-1.0,1.0,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0,1.0
nmod,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999998,-1.0,0.9999999999999999,-0.9999999999999998,0.9999999999999999,1.0,-1.0,-1.0,-0.9999999999999999,0.9999999999999999,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-0.9999999999999998,-1.0,-0.9999999999999998,1.0,-1.0,1.0,1.0,-0.9999999999999998,0.9999999999999999,0.9999999999999999,-0.9999999999999998,1.0,-1.0,-0.9999999999999998,1.0000000000000002,-1.0,1.0
cc,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0,-1.0,-1.0000000000000002,-0.9999999999999998,0.9999999999999999,1.0,-1.0,1.0,0.9999999999999999,1.0,-1.0,1.0,1.0,-1.0000000000000002,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,-1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0000000000000002,1.0,-1.0,1.0000000000000002,1.0,-1.0,1.0,-1.0
nsubj:pass,-1.0,1.0000000000000002,1.0000000000000002,-1.0,1.0000000000000002,0.9999999999999998,1.0,-0.9999999999999998,-1.0,1.0,-1.0,-0.9999999999999998,-1.0,1.0,-1.0,-1.0,0.9999999999999999,-1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.9999999999999999,-1.0000000000000002,-1.0000000000000002,1.0,1.0,-1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,1.0000000000000002,1.0,-1.0,1.0,0.9999999999999999,-1.0,0.9999999999999998,-0.9999999999999998,-1.0,1.0,-1.0,1.0
discourse,-1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,-0.9999999999999998,-1.0,1.0,-1.0,-0.9999999999999999,1.0000000000000002,-1.0000000000000002,0.9999999999999999,0.9999999999999999,-1.0,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,-1.0,1.0000000000000002,1.0,-1.0000000000000002,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,-1.0,1.0000000000000002,1.0,-1.0000000000000002,1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0000000000000002,1.0000000000000002,-1.0,1.0000000000000002
csubj:pass,0.9999999999999999,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,1.0,0.9999999999999999,1.0,-1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,-1.0000000000000002,-0.9999999999999998,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999998,-0.9999999999999999,1.0,-1.0000000000000002,-1.0,0.9999999999999999,-1.0,1.0,1.0,-0.9999999999999998,1.0,-1.0
acl,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,1.0,0.9999999999999999,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
expl:pass,0.9999999999999999,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,1.0,0.9999999999999999,1.0,-1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,-1.0000000000000002,-0.9999999999999998,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999998,-0.9999999999999999,1.0,-1.0000000000000002,-1.0,0.9999999999999999,-1.0,1.0,1.0,-0.9999999999999998,1.0,-1.0
amod,-1.0,1.0000000000000002,1.0000000000000002,-1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,-1.0000000000000002,-0.9999999999999998,-1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0000000000000002,1.0
nummod,1.0,-0.9999999999999998,-0.9999999999999998,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9999999999999999,1.0,1.0,0.9999999999999999,-1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0000000000000002,-1.0
conj,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0000000000000002,-0.9999999999999999,-1.0,-1.0,1.0,-1.0,-1.0,0.9999999999999999,-0.9999999999999998,1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.9999999999999999,-1.0,-1.0000000000000002,1.0,1.0,-1.0,1.0000000000000002,1.0000000000000002,-0.9999999999999998,-1.0,-0.9999999999999998,1.0,-1.0,1.0,1.0,-0.9999999999999998,0.9999999999999999,0.9999999999999999,-1.0,1.0,-1.0,-0.9999999999999998,1.0,-1.0,1.0
case,-1.0000000000000002,1.0,1.0,-0.9999999999999999,1.0,1.0,0.9999999999999998,-0.9999999999999999,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,-0.9999999999999998,1.0000000000000002,-1.0,-1.0000000000000002,1.0,-0.9999999999999999,0.9999999999999998,1.0,-1.0000000000000002,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0000000000000002,1.0,1.0,-0.9999999999999999,-1.0000000000000002,-0.9999999999999999,1.0,-1.0,1.0,1.0,-0.9999999999999999,0.9999999999999998,1.0,-1.0,1.0,-1.0,-0.9999999999999999,1.0,-1.0000000000000002,1.0000000000000002
xcomp:pred,0.9999999999999999,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,1.0,0.9999999999999999,1.0,-1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,-1.0000000000000002,-0.9999999999999998,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999998,-0.9999999999999999,1.0,-1.0000000000000002,-1.0,0.9999999999999999,-1.0,1.0,1.0,-0.9999999999999998,1.0,-1.0
aux:pass,-1.0,1.0000000000000002,1.0000000000000002,-1.0,1.0,0.9999999999999998,1.0,-0.9999999999999998,-1.0000000000000002,1.0,-1.0,-0.9999999999999998,-1.0,1.0,-1.0,-0.9999999999999998,0.9999999999999999,-1.0000000000000002,1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.9999999999999999,-1.0000000000000002,-0.9999999999999999,1.0,0.9999999999999999,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,0.9999999999999999,-1.0000000000000002,0.9999999999999999,0.9999999999999998,-1.0000000000000002,1.0,0.9999999999999999,-1.0,1.0,-1.0,-1.0000000000000002,1.0,-1.0,1.0
advmod:neg,-1.0,1.0,1.0,-0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,-0.9999999999999999,-1.0000000000000002,1.0,-0.9999999999999998,-1.0,1.0,-1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,0.9999999999999999,0.9999999999999999,-1.0000000000000002,0.9999999999999999,1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,0.9999999999999999,1.0,-0.9999999999999998,1.0,-1.0,-1.0,1.0000000000000002,-1.0,1.0
cop,1.0,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0,1.0,0.9999999999999999,1.0,-0.9999999999999998,1.0,0.9999999999999999,-0.9999999999999998,0.9999999999999999,-1.0,-0.9999999999999998,1.0,1.0,1.0,-0.9999999999999998,1.0,0.9999999999999998,-1.0,-0.9999999999999998,1.0,-1.0,-1.0,0.9999999999999999,1.0,0.9999999999999999,-1.0,1.0,-1.0,-1.0,0.9999999999999999,-1.0,-0.9999999999999998,1.0,-0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.9999999999999998,0.9999999999999998,-1.0
obj,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,-0.9999999999999999,-0.9999999999999999,1.0,-1.0,0.9999999999999999,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.9999999999999998,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-0.9999999999999999,1.0,-1.0,-1.0,1.0000000000000002,-1.0,1.0000000000000002
ccomp,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0,1.0,-1.0,1.0,0.9999999999999998,1.0000000000000002,-1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0,-0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,-1.0,1.0,1.0000000000000002,-1.0000000000000002,-1.0,1.0000000000000002,-0.9999999999999998,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.9999999999999999,-1.0,1.0,1.0,-1.0,1.0,-1.0
